data_source,key_id,name_full,org_pac_id,num_org_mem,pri_spec,sec_spec_all,adr_ln_1,adr_ln_2,City/Town,State,ZIP Code,Telephone Number,Cleaned Address,Latitude,Longitude
clinician_network,3375455884.0,COLUMBUS DIAGNOSTIC CENTER INC,3375455884.0,37.0,DIAGNOSTIC RADIOLOGY,,727 JIM ISLE DR,,CHARLESTON,SC,294124726,8434691370.0,727 JIM ISLE DR,32.74407,-79.951
clinician_network,3375849946.0,RSFH - ATI PHYSICAL THERAPY LLC,3375849946.0,76.0,PHYSICAL THERAPY,,325 FOLLY RD,SUITE 107,CHARLESTON,SC,294122507,8437620147.0,325 FOLLY RD,35.88104987205631,-76.66489321240249
clinician_network,3476855420.0,SOUTHEASTERN HOSPITALIST SERVICES PC,3476855420.0,282.0,FAMILY PRACTICE,HOSPITALIST,9330 MEDICAL PLAZA DR,,CHARLESTON,SC,294069104,8438474559.0,9330 MEDICAL PLAZA DR,32.9768967,-80.0737924
clinician_network,3476961368.0,GROW HEALTHCARE GROUP PA,3476961368.0,311.0,CLINICAL SOCIAL WORKER,,170 MEETING ST,SUITE 110,CHARLESTON,SC,294013178,7046101304.0,170 MEETING ST,33.010193772951844,-80.15047818481507
clinician_network,3577629088.0,COASTAL CAROLINA PRIMARY CARE LLC,3577629088.0,27.0,OBSTETRICS/GYNECOLOGY,,9279 MEDICAL PLAZA DR,SUITE A,CHARLESTON,SC,294069141,8435692900.0,9279 MEDICAL PLAZA DR,32.97473161573412,-80.07302134239472
clinician_network,3577821958.0,HYPER HEALING,3577821958.0,12.0,NURSE PRACTITIONER,,1930 CHARLIE HALL BLVD,,CHARLESTON,SC,294145837,8037674465.0,1930 CHARLIE HALL BLVD,32.81577377882156,-80.04164657311954
clinician_network,3678836558.0,SAVANNAH MULTISPECIALTY ASSOCIATES LLC,3678836558.0,114.0,RADIATION ONCOLOGY,,9330 MEDICAL PLAZA DR,,CHARLESTON,SC,294069104,8438474946.0,9330 MEDICAL PLAZA DR,32.9768967,-80.0737924
clinician_network,3779726468.0,BENCHMARK HEALTHCARE SERVICES LLC,3779726468.0,77.0,PHYSICAL THERAPY,,334 E BAY ST,UNIT J,CHARLESTON,SC,294011592,8432036562.0,334 E BAY ST,33.918522580918435,-78.01504174749961
clinician_network,4082079496.0,UROLOGY ASSOCIATES OF CHARLESTON LLC,4082079496.0,9.0,PHYSICIAN ASSISTANT,,2093 HENRY TECKLENBURG DR,SUITE 318E,CHARLESTON,SC,294145741,8438848045.0,2093 HENRY TECKLENBURG DR,32.803347473899294,-80.03951173735831
clinician_network,4082607361.0,ANESTHESIA ASSOCIATES OF CHARLESTON PA,4082607361.0,35.0,ANESTHESIOLOGY,CRITICAL CARE (INTENSIVISTS),1064 GARDNER RD,SUITE 112,CHARLESTON,SC,294075768,8437233441551.0,1064 GARDNER RD,30.259519,-97.68224595833334
clinician_network,4082662234.0,"CHARLESTON ENT ASSOCIATES, LLC",4082662234.0,66.0,DIAGNOSTIC RADIOLOGY,PEDIATRIC MEDICINE,2295 HENRY TECKLENBURG DR,,CHARLESTON,SC,294147801,8437667103.0,2295 HENRY TECKLENBURG DR,32.80401221104473,-80.04119110766236
clinician_network,4183056344.0,BLUE RIDGE SPEECH AND VOICE,4183056344.0,2.0,QUALIFIED SPEECH LANGUAGE PATHOLOGIST,,891 PORTABELLA LN,,CHARLESTON,SC,294128410,8282223824.0,891 PORTABELLA LN,32.724447,-79.931069
clinician_network,4183517097.0,DIAGNOSTIC RADIOLOGY AND IMAGING LLC,4183517097.0,97.0,DIAGNOSTIC RADIOLOGY,,502 SHEM BUTLER CT,,CHARLESTON,SC,294147154,8555044544.0,502 SHEM BUTLER CT,32.85063377736449,-80.06491684261006
clinician_network,4284547209.0,RADIOLOGISTS ASSOCIATED IN DULUTH LTD,4284547209.0,40.0,DIAGNOSTIC RADIOLOGY,INTERVENTIONAL RADIOLOGY,8 GEORGE ST,,CHARLESTON,SC,294011524,2187223700.0,8 GEORGE ST,55.9537993,-3.1947037
clinician_network,4385653054.0,"NATIONAL ALLERGY ASTHMA AND URTICARIA CENTERS OF CHARLESTON, PA",4385653054.0,7.0,ALLERGY/IMMUNOLOGY,INTERNAL MEDICINE,7555 NORTHSIDE DR,,CHARLESTON,SC,294204211,8437978162.0,7555 NORTHSIDE DR,32.36906196585653,-90.42819838738708
clinician_network,4587557731.0,CAROLINA FAMILY CARE INC,4587557731.0,63.0,NURSE PRACTITIONER,,2060 SAM RITTENBERG BLVD,,CHARLESTON,SC,294074616,8438763151.0,2060 SAM RITTENBERG BLVD,32.7935492,-80.029169
clinician_network,4688578826.0,PALMETTO INFUSION SERVICES LLC,4688578826.0,46.0,FAMILY PRACTICE,EMERGENCY MEDICINE,1027 PHYSICIANS DR,SUITE 220,CHARLESTON,SC,294145352,8037717740.0,1027 PHYSICIANS DR,33.571476,-81.761061
clinician_network,4688671365.0,COASTAL INPATIENT PHYSICIANS LLC,4688671365.0,15.0,PHYSICIAN ASSISTANT,PSYCHIATRY,9330 MEDICAL PLAZA DR,,CHARLESTON,SC,294069104,8438474372.0,9330 MEDICAL PLAZA DR,32.9768967,-80.0737924
clinician_network,4688674807.0,"PALMETTO BEHAVIORAL HEALTH SOLUTIONS, LLC",4688674807.0,2.0,NURSE PRACTITIONER,,2777 SPEISSEGGER DR,,CHARLESTON,SC,294058229,8432667080.0,2777 SPEISSEGGER DR,32.83940835,-79.97440416995414
clinician_network,4789640673.0,CHARLESTON PATHOLOGY PA,4789640673.0,11.0,PATHOLOGY,,316 CALHOUN ST,,CHARLESTON,SC,294011113,8437242260.0,316 CALHOUN ST,32.78266495,-79.94908809987882
clinician_network,4789949223.0,NEWTON FAMILY MEDICINE LLC,4789949223.0,2.0,FAMILY PRACTICE,,1477 TOBIAS GADSON BLVD,,CHARLESTON,SC,294074794,8437667696.0,1477 TOBIAS GADSON BLVD,32.809473343392,-80.0303302411236
clinician_network,4880009943.0,RIVIA MEDICAL PLLC,4880009943.0,41.0,NURSE PRACTITIONER,,460 KING ST,SUITE 200,CHARLESTON,SC,294036229,2122031773.0,460 KING ST,57.16094705,-2.0960793804937423
clinician_network,4880508068.0,PALMETTO PRIMARY CARE PHYSICIANS LLC,4880508068.0,127.0,NURSE PRACTITIONER,,5325 APPIAN WAY,,CHARLESTON,SC,294207234,8436956071.0,5325 APPIAN WAY,41.12926336976751,-81.710524526615
clinician_network,4981608817.0,VIRTUAL RADIOLOGIC PROFESSIONALS LLC,4981608817.0,350.0,DIAGNOSTIC RADIOLOGY,INTERVENTIONAL RADIOLOGY,8 GEORGE ST,,CHARLESTON,SC,294011524,9525951100.0,8 GEORGE ST,55.9537993,-3.1947037
clinician_network,4981660479.0,COASTAL VASCULAR AND VEIN CENTER PA,4981660479.0,14.0,VASCULAR SURGERY,GENERAL SURGERY,1327 ASHLEY RIVER RD B,,CHARLESTON,SC,294075384,8435774551.0,1327 ASHLEY RIVER RD B,37.212424,-77.521117
clinician_network,4981943818.0,CENTERWAY BEHAVIORAL HEALTH LLC,4981943818.0,4.0,PSYCHIATRY,,2079 CHARLIE HALL BLVD,,CHARLESTON,SC,294145834,8439745622.0,2079 CHARLIE HALL BLVD,32.81534305229072,-80.04384084268628
clinician_network,5092080671.0,SOUTH CAROLINA POST ACUTE MEDICAL SERVICES 1 PC,5092080671.0,5.0,PHYSICIAN ASSISTANT,FAMILY PRACTICE,2333 ASHLEY RIVER RD,,CHARLESTON,SC,294144755,8437669898.0,2333 ASHLEY RIVER RD,34.9611989,-80.7373116
clinician_network,5092774034.0,TRIDENT DERMATOLOGY PA,5092774034.0,7.0,DERMATOLOGY,,9295 MEDICAL PLAZA DR,,CHARLESTON,SC,294069137,8437973960.0,9295 MEDICAL PLAZA DR,32.97457924716439,-80.07339372597399
clinician_network,5092981605.0,THE BREAST PLACE LLC,5092981605.0,3.0,GENERAL SURGERY,,2085 HENRY TECKLENBURG DR,SUITE 320,CHARLESTON,SC,294147713,8437242000.0,2085 HENRY TECKLENBURG DR,32.80336027151722,-80.03954198382343
clinician_network,5193620714.0,ACS PRIMARY CARE PHYSICIANS - SOUTHEAST PC,5193620714.0,335.0,EMERGENCY MEDICINE,PEDIATRIC MEDICINE,9330 MEDICAL PLAZA DR,,CHARLESTON,SC,294069104,8437977000.0,9330 MEDICAL PLAZA DR,32.9768967,-80.0737924
clinician_network,5193772747.0,JOHN E EMMEL MD PC,5193772747.0,11.0,NURSE PRACTITIONER,,27 GAMECOCK AVE,SUITE 201,CHARLESTON,SC,294073398,8431632815.0,27 GAMECOCK AVE,32.82054999352446,-79.99343264057353
clinician_network,5193874824.0,ROPER SAINT FRANCIS PHYSICIANS NETWORK,5193874824.0,424.0,PHYSICIAN ASSISTANT,SPORTS MEDICINE,316 CALHOUN ST,,CHARLESTON,SC,294011113,8439588877.0,316 CALHOUN ST,32.78266495,-79.94908809987882
clinician_network,5193964419.0,CHARLESTON HAND THERAPY CENTER,5193964419.0,3.0,OCCUPATIONAL THERAPY,,1483 TOBIAS GADSON BLVD,SUITE 205B,CHARLESTON,SC,294074641,8437666494.0,1483 TOBIAS GADSON BLVD,32.809275070141204,-80.03042007354375
clinician_network,5294631545.0,TRIDENT ANESTHESIA GROUP LLC,5294631545.0,98.0,ANESTHESIOLOGY,INTERNAL MEDICINE,9330 MEDICAL PLAZA DR,,CHARLESTON,SC,294069104,8437977000.0,9330 MEDICAL PLAZA DR,32.9768967,-80.0737924
clinician_network,5496757692.0,ANESTHESIA SERVICES OF CHARLESTON,5496757692.0,4.0,ANESTHESIOLOGY,,1849 SAVAGE RD,,CHARLESTON,SC,294074726,8435762600.0,1849 SAVAGE RD,32.80668788604135,-80.02572552420978
clinician_network,5698689693.0,LOWCOUNTRY DERMATOLOGY ASSOCIATES,5698689693.0,2.0,PHYSICIAN ASSISTANT,,8 FARMFIELD AVE,SUITE D,CHARLESTON,SC,294077779,8435567251.0,8 FARMFIELD AVE,32.77589954787291,-79.99336420329091
clinician_network,5890127344.0,24 ON PHYSICIANS OF SC LLC,5890127344.0,100.0,INTERNAL MEDICINE,HOSPITALIST,316 CALHOUN ST,,CHARLESTON,SC,294011113,8437242901.0,316 CALHOUN ST,32.78266495,-79.94908809987882
clinician_network,6002279320.0,"COASTAL PLAY 2 GROW THERAPY, LLC",6002279320.0,2.0,PHYSICAL THERAPY,,2387 LANTERN ST,,CHARLESTON,SC,294144850,8435684786.0,2387 LANTERN ST,52.2119955,-113.8321398
clinician_network,6002907359.0,"DR. ALICE C. SUN AND ASSOCIATES, PC",6002907359.0,2.0,OPTOMETRY,,1231 FOLLY RD,,CHARLESTON,SC,294124105,8437953400.0,1231 FOLLY RD,32.720598949999996,-79.96772305979401
clinician_network,6103951116.0,COASTAL VISION CARE LLC,6103951116.0,3.0,OPTOMETRY,,3951 W ASHLEY CIR,,CHARLESTON,SC,294149156,8438520075.0,3951 W ASHLEY CIR,32.8214833,-80.0812945
clinician_network,6204125107.0,CHARLESTON COUNSELING CENTER PC,6204125107.0,68.0,NURSE PRACTITIONER,,1422 ASHLEY RIVER RD,,CHARLESTON,SC,294075306,8435011099.0,1422 ASHLEY RIVER RD,34.9611989,-80.7373116
clinician_network,6204731300.0,"DOCTORS CARE, PA",6204731300.0,195.0,FAMILY PRACTICE,OSTEOPATHIC MANIPULATIVE MEDICINE,3424 SHELBY RAY CT,,CHARLESTON,SC,294145838,8434026834.0,3424 SHELBY RAY CT,32.82003851938607,-80.0660334978704
clinician_network,6204882053.0,MIGNANO FAMILY CHIROPRACTIC CENTER LLC,6204882053.0,2.0,CHIROPRACTIC,,914 FOLLY RD,SUITE D,CHARLESTON,SC,294123900,8437622386.0,914 FOLLY RD,35.88769969422285,-76.66802929517314
clinician_network,6305758574.0,UNIVERSITY MEDICAL ASSOCIATES,6305758574.0,1313.0,COLORECTAL SURGERY (PROCTOLOGY),GENERAL SURGERY,171 ASHLEY AVE,,CHARLESTON,SC,294258908,8437921414.0,171 ASHLEY AVE,32.785544099999996,-79.95170814565597
clinician_network,6406033950.0,"PINNACLE PHYSICIANS, LLC",6406033950.0,6.0,NURSE PRACTITIONER,,316 CALHOUN ST,,CHARLESTON,SC,294011113,8554547095.0,316 CALHOUN ST,32.78266495,-79.94908809987882
clinician_network,6406869247.0,LOWCOUNTRY UROLOGY CLINICS PA,6406869247.0,15.0,UROLOGY,,641 SAINT ANDREWS BLVD,,CHARLESTON,SC,294077165,8437664070.0,641 SAINT ANDREWS BLVD,30.08867595121951,-90.47208491463414
clinician_network,6507754983.0,COLUMBUS RADIOLOGY CORP,6507754983.0,268.0,DIAGNOSTIC RADIOLOGY,,18 POULNOT LN,,CHARLESTON,SC,294011911,7062550030.0,18 POULNOT LN,32.777761,-79.938575
clinician_network,6507922093.0,W M WOODWARD MD PA,6507922093.0,3.0,PHYSICAL THERAPY,"ADDICTION MEDICINE, PAIN MANAGEMENT",1124 SAM RITTENBERG BLVD,SUITE 1,CHARLESTON,SC,294073362,8435563462.0,1124 SAM RITTENBERG BLVD,32.81770445970765,-79.99366727908358
clinician_network,6800129271.0,PERRY DERMATOLOGY AND DERMATOPATHOLOGY,6800129271.0,3.0,DERMATOLOGY,PATHOLOGY,48 FOLLY RD BLVD,,CHARLESTON,SC,294077507,8437692100.0,48 FOLLY RD BLVD,32.7791996,-79.9707079
clinician_network,6800700162.0,ROPER RADIOLOGISTS PA,6800700162.0,30.0,DIAGNOSTIC RADIOLOGY,NUCLEAR MEDICINE,316 CALHOUN ST,,CHARLESTON,SC,294011113,8437242161.0,316 CALHOUN ST,32.78266495,-79.94908809987882
clinician_network,6800994807.0,SC HOUSE CALLS INC,6800994807.0,371.0,INTERNAL MEDICINE,,2030 CHARLIE HALL BLVD,,CHARLESTON,SC,294145830,8004910909.0,2030 CHARLIE HALL BLVD,32.815335165708674,-80.04418329719186
clinician_network,7012937105.0,ANESTHESIA CARE SERVICES PA,7012937105.0,63.0,CERTIFIED REGISTERED NURSE ANESTHETIST (CRNA),,1606 ASHLEY RIVER RD,,CHARLESTON,SC,294075902,8437630503.0,1606 ASHLEY RIVER RD,32.3979176,-93.708886
clinician_network,7113024480.0,OHIO IMAGING ASSOCIATES INC,7113024480.0,6.0,DIAGNOSTIC RADIOLOGY,,484 KING ST,SUITE 205,CHARLESTON,SC,294036229,8444665613.0,484 KING ST,44.9912211,-64.1319206
clinician_network,7113372236.0,REGIONAL IMAGING ASSOCIATES,7113372236.0,12.0,DIAGNOSTIC RADIOLOGY,,42 SAVAGE ST,,CHARLESTON,SC,294012410,8444665613.0,42 SAVAGE ST,32.77459174233344,-79.93825037279592
clinician_network,7113822420.0,ALLERGY PARTNERS PLLC,7113822420.0,150.0,ALLERGY/IMMUNOLOGY,,2090 CHARLIE HALL BLVD,SUITE 301,CHARLESTON,SC,294148200,8435569588.0,2090 CHARLIE HALL BLVD,32.8145297,-80.04526039503494
clinician_network,7214084870.0,COMPASS CAROLINA HEALTH SYSTEMS PA,7214084870.0,5.0,CLINICAL SOCIAL WORKER,ADDICTION MEDICINE,1483 TOBIAS GADSON BLVD,SUITE 201,CHARLESTON,SC,294074796,8437455153.0,1483 TOBIAS GADSON BLVD,32.809275070141204,-80.03042007354375
clinician_network,7315026879.0,EYECARE PHYSICIANS AND SURGEONS LLC,7315026879.0,2.0,OPHTHALMOLOGY,,125 DOUGHTY ST,SUITE 330,CHARLESTON,SC,294035740,8437227705.0,125 DOUGHTY ST,32.78418639255284,-79.95047910260625
clinician_network,7315342185.0,LEXINGTON RADIOLOGY ASSOCIATES,7315342185.0,31.0,PHYSICIAN ASSISTANT,,230 RUTLEDGE AVE,APT A,CHARLESTON,SC,294035380,8004756236.0,230 RUTLEDGE AVE,40.064150237609034,-76.29900630524034
clinician_network,7315349966.0,"REGIONAL IMAGING, PC",7315349966.0,9.0,DIAGNOSTIC RADIOLOGY,,42 SAVAGE ST,,CHARLESTON,SC,294012410,8772232725.0,42 SAVAGE ST,32.77459174233344,-79.93825037279592
clinician_network,7618074899.0,MEDCARE EXPRESS - NORTH CHARLESTON LLC,7618074899.0,61.0,PHYSICIAN ASSISTANT,GENERAL PRACTICE,1850 SAM RITTENBERG BLVD,,CHARLESTON,SC,294074936,8437936093.0,1850 SAM RITTENBERG BLVD,32.800007,-80.020356
clinician_network,7618871245.0,SPECTRUM HEALTHCARE PARTNERS PA,7618871245.0,262.0,DIAGNOSTIC RADIOLOGY,,2275 PORTSIDE WAY,,CHARLESTON,SC,294079657,2604698223.0,2275 PORTSIDE WAY,32.825527,-80.02557
clinician_network,7618884230.0,STATE UNIVERSITY OF IOWA,7618884230.0,1462.0,OBSTETRICS/GYNECOLOGY,,177 CONGRESS ST,,CHARLESTON,SC,294034423,2055294554.0,177 CONGRESS ST,42.7665754,-73.7014429
clinician_network,7618956392.0,KANAWHA VALLEY RADIOLOGISTS INCORPORATED,7618956392.0,9.0,DIAGNOSTIC RADIOLOGY,,105 E BAY ST,,CHARLESTON,SC,294012544,8775747116.0,105 E BAY ST,33.9171925,-78.01873649999999
clinician_network,7618963638.0,"JOSEPH M STILL BURN CENTERS, INC",7618963638.0,53.0,PHYSICIAN ASSISTANT,,9330 MEDICAL PLAZA DR,,CHARLESTON,SC,294069104,7068639595.0,9330 MEDICAL PLAZA DR,32.9768967,-80.0737924
clinician_network,7719953942.0,"CAROLINA NEUROLOGICAL CLINIC, L.L.P.",7719953942.0,2.0,NEUROLOGY,,3531 MARY ADER AVE,SUITE A,CHARLESTON,SC,294145896,8437230202.0,3531 MARY ADER AVE,32.820726300000004,-80.06514055433334
clinician_network,7719978444.0,PALMETTO DIGESTIVE DISEASE PA,7719978444.0,10.0,PHYSICIAN ASSISTANT,INTERNAL MEDICINE,2073 CHARLIE HALL BLVD,,CHARLESTON,SC,294145834,8435710643.0,2073 CHARLIE HALL BLVD,32.8154442184854,-80.04363959170459
clinician_network,7810978616.0,PRIVATE THERAPY SERVICES LLC,7810978616.0,13.0,PHYSICAL THERAPY,,445 SAVANNAH HWY,,CHARLESTON,SC,294077207,8437662121.0,445 SAVANNAH HWY,32.77954835839117,-79.97264634881557
clinician_network,7911327267.0,CHARLESTON OT LLC,7911327267.0,2.0,OCCUPATIONAL THERAPY,,1640 ASHLEY HALL RD,,CHARLESTON,SC,294073824,7047216252.0,1640 ASHLEY HALL RD,32.80980351003383,-80.0101147107786
