"CMS Certification Number (CCN)","Provider Name","Provider Address",City/Town,State,"ZIP Code","Telephone Number","Provider SSA County Code",County/Parish,"Ownership Type","Number of Certified Beds","Average Number of Residents per Day","Average Number of Residents per Day Footnote","Provider Type","Provider Resides in Hospital","Legal Business Name","Date First Approved to Provide Medicare and Medicaid Services","Affiliated Entity Name","Affiliated Entity ID","Continuing Care Retirement Community","Special Focus Status","Abuse Icon","Most Recent Health Inspection More Than 2 Years Ago","Provider Changed Ownership in Last 12 Months","With a Resident and Family Council","Automatic Sprinkler Systems in All Required Areas","Overall Rating","Overall Rating Footnote","Health Inspection Rating","Health Inspection Rating Footnote","QM Rating","QM Rating Footnote","Long-Stay QM Rating","Long-Stay QM Rating Footnote","Short-Stay QM Rating","Short-Stay QM Rating Footnote","Staffing Rating","Staffing Rating Footnote","Reported Staffing Footnote","Physical Therapist Staffing Footnote","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Total nursing staff turnover footnote","Registered Nurse turnover","Registered Nurse turnover footnote","Number of administrators who have left the nursing home","Administrator turnover footnote","Case-Mix Nurse Aide Staffing Hours per Resident per Day","Case-Mix LPN Staffing Hours per Resident per Day","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Adjusted Nurse Aide Staffing Hours per Resident per Day","Adjusted LPN Staffing Hours per Resident per Day","Adjusted RN Staffing Hours per Resident per Day","Adjusted Total Nurse Staffing Hours per Resident per Day","Adjusted Weekend Total Nurse Staffing Hours per Resident per Day","Rating Cycle 1 Standard Survey Health Date","Rating Cycle 1 Total Number of Health Deficiencies","Rating Cycle 1 Number of Standard Health Deficiencies","Rating Cycle 1 Number of Complaint Health Deficiencies","Rating Cycle 1 Health Deficiency Score","Rating Cycle 1 Number of Health Revisits","Rating Cycle 1 Health Revisit Score","Rating Cycle 1 Total Health Score","Rating Cycle 2 Standard Health Survey Date","Rating Cycle 2 Total Number of Health Deficiencies","Rating Cycle 2 Number of Standard Health Deficiencies","Rating Cycle 2 Number of Complaint Health Deficiencies","Rating Cycle 2 Health Deficiency Score","Rating Cycle 2 Number of Health Revisits","Rating Cycle 2 Health Revisit Score","Rating Cycle 2 Total Health Score","Rating Cycle 3 Standard Health Survey Date","Rating Cycle 3 Total Number of Health Deficiencies","Rating Cycle 3 Number of Standard Health Deficiencies","Rating Cycle 3 Number of Complaint Health Deficiencies","Rating Cycle 3 Health Deficiency Score","Rating Cycle 3 Number of Health Revisits","Rating Cycle 3 Health Revisit Score","Rating Cycle 3 Total Health Score","Total Weighted Health Survey Score","Number of Facility Reported Incidents","Number of Substantiated Complaints","Number of Citations from Infection Control Inspections","Number of Fines","Total Amount of Fines in Dollars","Number of Payment Denials","Total Number of Penalties",Location,Latitude,Longitude,"Geocoding Footnote","Processing Date"
425018,"FLEETWOOD POST-ACUTE","200 ANNE DRIVE",EASLEY,SC,29640,8648599754,380,Pickens,"For profit - Limited Liability company",103,92.3,,"Medicare and Medicaid",N,"EASLEY SKILLED NURSING, LLC",1971-10-01,"PROVIDENCE GROUP",429,N,,N,N,N,Resident,Yes,3,,3,,4,,4,,3,,2,,,,1.93804,0.76190,0.53323,1.29513,3.23317,2.76558,0.23674,0.04603,68.9,,55.6,,1,,1.95688,0.65403,0.29481,2.90572,2.01764,0.85969,0.68154,3.50724,3.00002,2023-12-29,2,2,0,24,1,0,24,2021-12-10,4,4,4,16,1,0,16,2020-03-05,6,5,1,32,1,0,32,22.667,2,1,,2,15178.80,0,2,"200 ANNE DRIVE,EASLEY,SC,29640",34.7869,-82.637,,2024-06-01
425024,"WHITE OAK MANOR - SPARTANBURG","295 EAST PEARL STREET",SPARTANBURG,SC,29303,8645850241,410,Spartanburg,"For profit - Corporation",60,51.1,,"Medicare and Medicaid",N,"WHITE OAK MANOR INC",1967-01-01,"WHITE OAK MANAGEMENT",564,N,,N,N,N,Resident,Yes,4,,4,,2,,2,,,2,4,,,,2.72576,1.34622,0.72289,2.06910,4.79486,4.20311,0.30865,0.03334,60.6,,55.6,,0,,1.97884,0.71778,0.30758,3.00421,2.80621,1.38408,0.88559,5.03080,4.40993,2023-06-07,2,2,0,8,1,0,8,2021-10-14,2,2,0,8,1,0,8,2019-06-26,4,3,1,16,1,0,16,9.333,0,0,0,0,0.00,0,0,"295 EAST PEARL STREET,SPARTANBURG,SC,29303",34.9637,-81.938,,2024-06-01
425027,"MOUNTAINVIEW NURSING HOME","340 CEDAR SPRINGS ROAD",SPARTANBURG,SC,29302,8645824175,410,Spartanburg,"Non profit - Corporation",132,102.6,,"Medicare and Medicaid",N,"COMMUNITY SERVICES FOR THE AGING, INC.",1967-01-01,,,N,,N,N,N,Resident,Yes,3,,2,,5,,5,,,2,3,,,,2.76308,1.35391,0.39203,1.74594,4.50902,3.98213,0.21462,0.04892,62.6,,73.7,,0,,2.16887,0.68887,0.27925,3.13699,2.59540,1.45042,0.52899,4.53064,4.00123,2023-02-28,17,17,1,84,1,0,84,2021-06-16,0,0,0,0,0,0,0,2019-10-20,10,8,2,80,1,0,80,55.333,1,1,,4,23361.65,0,4,"340 CEDAR SPRINGS ROAD,SPARTANBURG,SC,29302",34.9104,-81.885,,2024-06-01
425032,"MAGNOLIA MANOR - INMAN","63 BLACKSTOCK ROAD",INMAN,SC,29349,8644729055,410,Spartanburg,"For profit - Limited Liability company",176,153.1,,"Medicare and Medicaid",N,"THI OF SOUTH CAROLINA AT MAGNOLIA MANORINMAN, LLC",1967-01-01,"FUNDAMENTAL HEALTHCARE",231,N,,N,N,N,Resident,Yes,1,,1,,2,,2,,3,,2,,,,1.67250,0.85536,0.32307,1.17844,2.85094,2.57917,0.17875,0.00349,58.9,,56.3,,0,,1.79552,0.60980,0.26746,2.67278,1.89767,1.03515,0.45516,3.36214,3.04164,2024-02-23,8,8,1,72,2,36,108,2022-01-14,8,3,5,60,1,0,60,2020-03-14,16,16,0,96,1,0,96,90.000,13,1,0,4,41343.65,0,4,"63 BLACKSTOCK ROAD,INMAN,SC,29349",35.0374,-82.090,,2024-06-01
425035,"J F HAWKINS NURSING HOME","1330 KINARD STREET",NEWBERRY,SC,29108,8032762601,350,Newberry,"For profit - Limited Liability company",113,90.5,,"Medicare and Medicaid",N,"NEWBERRY OPERATOR LLC",1967-01-01,"PRESTIGE ADMINISTRATIVE SERVICES",416,Y,,N,N,N,Resident,Yes,4,,3,,5,,5,,5,,4,,,,2.28484,0.85981,0.51933,1.37913,3.66397,3.18899,0.34580,0.04985,36.0,,43.8,,0,,2.02947,0.64900,0.28692,2.96539,2.29360,0.97768,0.68203,3.89458,3.38971,2023-05-24,2,0,2,12,0,0,12,2021-07-23,3,3,0,48,1,0,48,2019-11-25,5,3,2,32,1,0,32,27.333,1,2,,1,9772.75,0,1,"1330 KINARD STREET,NEWBERRY,SC,29108",34.2842,-81.606,,2024-06-01
425042,"GREENVILLE POST ACUTE","661 RUTHERFORD RD",GREENVILLE,SC,29609,8642322442,220,Greenville,"For profit - Corporation",132,122.4,,"Medicare and Medicaid",N,"GREENVILLE POST ACUTE LLC",1967-01-04,"PROVIDENCE GROUP",429,N,,N,N,N,Resident,Yes,1,,2,,2,,3,,2,,1,,,,1.90959,1.09290,0.25380,1.34670,3.25629,2.78404,0.14481,0.04482,72.8,,70.0,,0,,1.94170,0.67123,0.31743,2.93036,2.00356,1.20158,0.30128,3.50263,2.99465,2023-08-04,5,5,0,20,2,10,30,2021-11-10,7,6,2,40,2,20,60,2020-02-06,4,2,2,158,1,0,158,61.333,3,1,0,2,45360.50,0,2,"661 RUTHERFORD RD,GREENVILLE,SC,29609",34.8742,-82.397,,2024-06-01
425047,"CONDOR HEALTH ANDERSON","611 EAST HAMPTON STREET",ANDERSON,SC,29624,8642265054,030,Anderson,"For profit - Corporation",181,112.2,,"Medicare and Medicaid",N,"ANDERSON SC OPCO LLC",1970-01-01,"SIMCHA HYMAN & NAFTALI ZANZIPER",580,N,"SFF Candidate",N,N,N,Resident,Yes,1,,1,,3,,3,,2,,3,,,,2.31023,0.98099,0.36385,1.34484,3.65507,3.29408,0.33861,0.03386,57.6,,50.0,,1,,1.86983,0.65314,0.29897,2.82194,2.51708,1.10842,0.45858,4.08262,3.67941,2023-02-01,13,6,7,269,2,135,404,2021-05-19,9,2,7,194,1,0,194,2019-03-28,14,11,3,72,1,0,72,278.667,18,4,,3,30050.36,3,6,"611 EAST HAMPTON STREET,ANDERSON,SC,29624",34.4958,-82.640,,2024-06-01
425048,"BLUE RIDGE IN GEORGETOWN","2715 SOUTH ISLAND ROAD",GEORGETOWN,SC,29440,8435464123,210,Georgetown,"For profit - Corporation",84,70.7,,"Medicare and Medicaid",N,"BLUE RIDGE IN GEORGETOWN LLC",1974-10-01,"BLUE RIDGE HEALTHCARE",84,N,,N,N,N,Resident,Yes,1,,3,,1,,2,,1,,1,12,,,1.94512,0.78899,0.16387,0.95286,2.89798,2.66463,0.10603,0.07165,67.2,,80.0,,1,,1.93754,0.63884,0.26933,2.84571,2.04522,0.91143,0.22926,3.20993,2.95146,2022-09-02,2,2,2,8,1,0,8,2021-06-17,10,10,0,88,1,0,88,2019-07-19,4,4,0,20,1,0,20,36.667,2,2,0,23,103770.23,0,23,"2715 SOUTH ISLAND ROAD,GEORGETOWN,SC,29440",33.3313,-79.299,,2024-06-01
425052,"NHC HEALTHCARE -  ANDERSON","1501 EAST GREENVILLE STREET",ANDERSON,SC,29621,8642268356,030,Anderson,"For profit - Limited Liability company",290,247.3,,"Medicare and Medicaid",N,"NHC HEALTHCARE-ANDERSON, LLC",1973-10-01,"NATIONAL HEALTHCARE CORPORATION",364,N,,N,N,N,Resident,Yes,4,,4,,2,,3,,1,,4,,,,2.09352,0.87425,0.60316,1.47741,3.57093,2.97918,0.30158,0.09337,41.7,,16.1,,0,,2.04603,0.68028,0.30189,3.02820,2.08453,0.94840,0.75284,3.71696,3.10101,2022-07-13,4,4,2,20,1,0,20,2021-01-21,2,2,0,8,1,0,8,2019-03-28,5,5,0,16,1,0,16,15.333,2,2,0,1,9750.00,0,1,"1501 EAST GREENVILLE STREET,ANDERSON,SC,29621",34.5273,-82.636,,2024-06-01
425053,"PRUITTHEALTH- WALTERBORO","401 WITSELL STREET",WALTERBORO,SC,29488,8435495546,140,Colleton,"For profit - Corporation",132,117.9,,"Medicare and Medicaid",N,"PRUITTHEALTH - WALTERBORO, LLC",1981-01-01,PRUITTHEALTH,434,N,,N,N,N,Resident,Yes,1,,1,,3,,2,,3,,2,,,,1.76952,0.98652,0.32018,1.30671,3.07623,2.56436,0.13848,0.02839,47.7,,28.6,,0,,1.87270,0.68870,0.31844,2.87984,1.92501,1.05711,0.37887,3.36699,2.80674,2023-03-30,13,12,4,126,1,0,126,2021-12-15,6,6,0,48,1,0,48,2020-08-14,10,6,4,68,1,0,68,90.333,3,3,0,1,12262.69,0,1,"401 WITSELL STREET,WALTERBORO,SC,29488",32.9082,-80.658,,2024-06-01
425054,"NHC HEALTHCARE - LAURENS","379 PINEHAVEN STREET EXTENSION",LAURENS,SC,29360,8649846584,290,Laurens,"For profit - Limited Liability company",176,158.1,,"Medicare and Medicaid",N,"NHC HEALTHCARE-LAURENS LLC",1973-10-01,"NATIONAL HEALTHCARE CORPORATION",364,N,,N,N,N,Resident,Yes,4,,4,,4,,3,,4,,4,,,,2.01437,0.55439,0.69771,1.25210,3.26646,2.81323,0.52883,0.03215,24.8,,24.0,,0,,1.89030,0.63131,0.27052,2.79213,2.17096,0.64805,0.97187,3.68751,3.17586,2024-02-22,2,2,0,12,1,0,12,2021-10-29,1,0,1,20,1,0,20,2020-02-21,0,0,0,0,0,0,0,12.667,1,0,0,1,14521.00,0,1,"379 PINEHAVEN STREET EXTENSION,LAURENS,SC,29360",34.4995,-82.025,22,2024-06-01
425055,"JOLLEY ACRES HEALTHCARE CENTER","1180 WOLFE TRAIL",ORANGEBURG,SC,29115,8035341001,370,Orangeburg,"For profit - Corporation",60,52.5,,"Medicare and Medicaid",N,"PALMETTO JOLLEY ACRES OPERATING LLC",1980-07-01,"FUNDAMENTAL HEALTHCARE",231,Y,,N,N,N,Family,Yes,4,,4,,4,,2,,5,,4,,,,2.05791,0.99592,0.41786,1.41378,3.47170,3.08452,0.21355,0.04092,29.2,,42.9,,0,,1.90323,0.67192,0.31014,2.88530,2.20282,1.09382,0.50769,3.79264,3.36967,2022-08-25,1,1,0,8,1,0,8,2021-06-10,3,3,0,24,1,0,24,2019-12-19,6,4,2,44,1,0,44,19.333,2,0,2,0,0.00,0,0,"1180 WOLFE TRAIL,ORANGEBURG,SC,29115",33.4774,-80.856,,2024-06-01
425057,"ABBEVILLE NURSING HOME, INC.","83 THOMSON CIRCLE",ABBEVILLE,SC,29620,8643665122,000,Abbeville,"For profit - Corporation",94,48.9,,"Medicare and Medicaid",N,"Legal Business Name Not Available",1968-07-15,,,N,,N,N,N,Resident,Yes,5,,5,,5,,5,,,2,4,,,,2.15937,1.12374,1.03016,2.15391,4.31328,2.33699,0.51980,0.02760,41.0,,30.0,,,6,2.19479,0.67569,0.28415,3.15463,2.00438,1.22732,1.36609,4.30973,2.33507,2023-08-11,0,0,0,0,0,0,0,2021-12-10,0,0,0,0,0,0,0,2020-08-13,2,0,2,8,0,0,8,1.333,1,0,,0,0.00,0,0,"83 THOMSON CIRCLE,ABBEVILLE,SC,29620",34.1590,-82.381,,2024-06-01
425061,"MUSC HEALTH CHESTER NURSING CENTER","1 MEDICAL PARK DRIVE",CHESTER,SC,29706,8035819400,110,Chester,"Government - State",80,55.1,,"Medicare and Medicaid",N,"MEDICAL UNIVERSITY HOSPITAL AUTHORITY",1968-12-10,,,N,,N,N,N,Resident,Yes,2,,4,,1,,1,,1,,1,12,6,6,,,,,,,,,46.9,,50.0,,2,,,,,,,,,,,2024-04-11,5,5,0,20,1,0,20,2022-08-10,1,1,0,16,1,0,16,2021-05-28,3,3,0,12,1,0,12,17.333,0,0,0,0,0.00,0,0,"1 MEDICAL PARK DRIVE,CHESTER,SC,29706",34.6854,-81.183,,2024-06-01
425062,"BROOKVIEW HEALTHCARE CENTER","510 THOMPSON STREET",GAFFNEY,SC,29340,8644893101,100,Cherokee,"For profit - Corporation",114,105.0,,"Medicare and Medicaid",N,"BROOKVIEW HEALTHCARE CENTER LLC",1969-02-18,,,N,,N,N,N,Resident,Yes,3,,4,,2,,1,,2,,1,12,,,2.05635,0.98766,0.26474,1.25240,3.30875,2.91503,0.13846,0.01199,32.4,,57.1,,,6,1.87228,0.61185,0.26996,2.75409,2.23753,1.19124,0.36953,3.78683,3.33622,2022-07-08,2,1,1,20,1,0,20,2021-04-29,0,0,0,0,0,0,0,2019-08-22,6,6,0,32,1,0,32,15.333,4,0,0,0,0.00,0,0,"510 THOMPSON STREET,GAFFNEY,SC,29340",35.0563,-81.654,,2024-06-01
425063,"NHC HEALTHCARE - GREENWOOD","437 EAST CAMBRIDGE STREET",GREENWOOD,SC,29646,8642231950,230,Greenwood,"For profit - Corporation",152,133.3,,"Medicare and Medicaid",N,"NHC HEALTHCARE-GREENWOOD LLC",1973-10-01,"NATIONAL HEALTHCARE CORPORATION",364,N,,N,N,N,Resident,Yes,2,,2,,2,,4,,1,,3,,,,2.01482,0.64038,0.69962,1.34001,3.35483,2.95300,0.40566,0.03164,50.0,,37.0,,0,,1.95492,0.65022,0.32788,2.93301,2.09967,0.72681,0.80404,3.60535,3.17352,2024-03-15,8,8,0,52,1,0,52,2022-01-14,1,0,1,75,0,0,75,2020-08-26,0,0,0,0,0,0,0,51.000,1,0,,1,7445.75,0,1,"437 EAST CAMBRIDGE STREET,GREENWOOD,SC,29646",34.1959,-82.154,,2024-06-01
425064,"OAKHAVEN NURSING CENTER","123 OAK STREET",DARLINGTON,SC,29532,8433987041,150,Darlington,"For profit - Corporation",88,68.4,,"Medicare and Medicaid",N,"OAKHAVEN NURSING CENTER LLC",1969-03-04,,,N,,N,N,N,Resident,Yes,5,,5,,2,,4,,1,,3,,,,2.50326,1.08448,0.39169,1.47618,3.97943,3.25880,0.18029,0.04266,43.8,,66.7,,2,,1.92797,0.68068,0.32091,2.92956,2.64514,1.17577,0.45993,4.28164,3.50627,2022-08-31,0,0,0,0,0,0,0,2021-06-18,0,0,0,0,0,0,0,2019-12-08,1,1,0,4,1,0,4,0.667,0,0,,0,0.00,0,0,"123 OAK STREET,DARLINGTON,SC,29532",34.3050,-79.870,,2024-06-01
