"CMS Certification Number (CCN)","Facility Name","Address Line 1","Address Line 2",City/Town,State,"ZIP Code",County/Parish,"Telephone Number","CMS Region","Measure Code","Measure Name",Score,Footnote,"Measure Date Range"
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_02_DENOMINATOR,"Gaps in nursing visits (% elections)",842,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_02_OBSERVED,"Gaps in nursing visits (% elections)",29.9,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_02_PERCENTILE,"Gaps in nursing visits (% elections)",15,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_03_DENOMINATOR,"Early live discharges (% live discharges)",150,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_03_OBSERVED,"Early live discharges (% live discharges)",8.7,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_03_PERCENTILE,"Early live discharges (% live discharges)",68,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_04_DENOMINATOR,"Late live discharges (% live discharges)",150,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_04_OBSERVED,"Late live discharges (% live discharges)",30.7,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_04_PERCENTILE,"Late live discharges (% live discharges)",27,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_05_DENOMINATOR,"Burdensome transitions, Type 1(% live discharges)",150,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_05_OBSERVED,"Burdensome transitions, Type 1 (% live discharges)",9.3,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_05_PERCENTILE,"Burdensome transitions, Type 1 (% live discharges)",65,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_06_DENOMINATOR,"Burdensome transitions, Type 2(% live discharges)",150,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_06_OBSERVED,"Burdensome transitions, Type 2 (% live discharges)",3.3,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_06_PERCENTILE,"Burdensome transitions, Type 2 (% live discharges)",75,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_07_DENOMINATOR,"Per-beneficiary spending (U.S. dollars $)","2,536",,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_07_OBSERVED,"Per-beneficiary spending (U.S. dollars $)","10,067",,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_07_PERCENTILE,"Per-beneficiary spending (U.S. dollars $)",16,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_08_DENOMINATOR,"Nurse care minutes per routine home care days (minutes)","123,376",,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_08_OBSERVED,"Nurse care minutes per routine home care days (minutes)",14.0,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_08_PERCENTILE,"Nurse care minutes per routine home care days (minutes)",67,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_09_DENOMINATOR,"Skilled nursing minutes on weekends (% minutes)","1,731,210",,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_09_OBSERVED,"Skilled nursing minutes on weekends (% minutes)",8.3,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_09_PERCENTILE,"Skilled nursing minutes on weekends (% minutes)",54,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_10_DENOMINATOR,"Visits near death (% decedents)","2,210",,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_10_OBSERVED,"Visits near death (% decedents)",94.4,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,H_012_10_PERCENTILE,"Visits near death (% decedents)",59,,01/01/2021-12/31/2022
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Average_Daily_Census,"Average Daily Census",165.0,,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Provided_Home_Care_and_other,"Provided Routine Home Care and other levels of care",Yes,,01/01/2018-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Provided_Home_Care_only,"Provided Routine Home Care only",No,,01/01/2018-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Pct_Pts_w_Cancer,"Percent of Patients with Cancer",29,,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Pct_Pts_w_Dementia,"Percent of Patients with Dementia",12,,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Pct_Pts_w_Stroke,"Percent of Patients with Stroke",8,,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Pct_Pts_w_Circ_Heart_Disease,"Percent of Patients with Circulatory/heart disease",13,,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Pct_Pts_w_Resp_Disease,"Percent of Patients with Respiratory disease",9,,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Pct_Pts_w_other_conditions,"Percent of Patients with Other Conditions",7,,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Care_Provided_Home,"Care Provided in Home",65,,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Care_Provided_Assisted_Living,"Care Provided in Assisted Living Facility",5,,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Care_Provided_Nursing_Facility,"Care Provided in Nursing Facility",22,,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Care_Provided_Skilled_Nursing,"Care Provided in Skilled Nursing Facility",0,14,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Care_Provided_Inpatient_Hospital,"Care Provided in Inpatient Hospital Facility",0,14,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Care_Provided_Inpatient_Hospice,"Care Provided in Inpatient Hospice Facility",6,,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Care_Provided_other_locations,"Care Provided in All other locations",2,,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Bene_MA_Pct,"Hospice served at least 1 patient enrolled in Medicare Advantage during one year",Yes,,01/01/2020-12/31/2020
421500,"SPARTANBURG REGIONAL MED CTR HOSPICE","1530 DRAYTON ROAD",,SPARTANBURG,SC,29302,Spartanburg,"(864) 560-3900",4,Bene_Dual_Pct,"Hospice served at least 1 patient with both Medicare and Medicaid coverage during one year",Yes,,01/01/2020-12/31/2020
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_001_01_DENOMINATOR,,188,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_001_01_OBSERVED,"Hospice and Palliative Care Treatment Preferences",100.0,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_002_01_DENOMINATOR,,188,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_002_01_OBSERVED,"Beliefs & Values Addressed (if desired by the patient)",100.0,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_003_01_DENOMINATOR,,188,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_003_01_OBSERVED,"Hospice and Palliative Care Pain Screening",100.0,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_004_01_DENOMINATOR,,97,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_004_01_OBSERVED,"Hospice and Palliative Care Pain Assessment",100.0,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_005_01_DENOMINATOR,,188,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_005_01_OBSERVED,"Hospice and Palliative Care Dyspnea Screening",100.0,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_006_01_DENOMINATOR,,103,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_006_01_OBSERVED,"Hospice and Palliative Care Dyspnea Treatment",100.0,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_007_01_DENOMINATOR,,55,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_007_01_OBSERVED,"Patient Treated with an Opioid Who Are Given a Bowel Regimen",100.0,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_008_01_DENOMINATOR,,188,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_008_01_OBSERVED,"Hospice and Palliative Care Composite Process Measure",100.0,,07/01/2022-06/30/2023
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_011_01_DENOMINATOR,"Hospice Visits in the Last Days of Life",189,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_011_01_OBSERVED,"Hospice Visits in the Last Days of Life",55.6,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_00_OBSERVED,"Hospice Care Index Overall Score",10.0,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_01_DENOMINATOR,"CHC/GIP provided (% days)","23,844",,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_01_OBSERVED,"CHC/GIP provided (% days)",1.1,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_01_PERCENTILE,"CHC/GIP provided (% days)",88,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_02_DENOMINATOR,"Gaps in nursing visits (% elections)",152,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_02_OBSERVED,"Gaps in nursing visits (% elections)",65.8,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_02_PERCENTILE,"Gaps in nursing visits (% elections)",65,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_03_DENOMINATOR,"Early live discharges (% live discharges)",28,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_03_OBSERVED,"Early live discharges (% live discharges)",3.6,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_03_PERCENTILE,"Early live discharges (% live discharges)",31,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_04_DENOMINATOR,"Late live discharges (% live discharges)",28,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_04_OBSERVED,"Late live discharges (% live discharges)",28.6,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_04_PERCENTILE,"Late live discharges (% live discharges)",23,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_05_DENOMINATOR,"Burdensome transitions, Type 1(% live discharges)",28,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_05_OBSERVED,"Burdensome transitions, Type 1 (% live discharges)",14.3,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_05_PERCENTILE,"Burdensome transitions, Type 1 (% live discharges)",84,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_06_DENOMINATOR,"Burdensome transitions, Type 2(% live discharges)",28,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_06_OBSERVED,"Burdensome transitions, Type 2 (% live discharges)",0.0,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_06_PERCENTILE,"Burdensome transitions, Type 2 (% live discharges)",41,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_07_DENOMINATOR,"Per-beneficiary spending (U.S. dollars $)",346,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_07_OBSERVED,"Per-beneficiary spending (U.S. dollars $)","11,949",,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_07_PERCENTILE,"Per-beneficiary spending (U.S. dollars $)",26,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_08_DENOMINATOR,"Nurse care minutes per routine home care days (minutes)","23,341",,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_08_OBSERVED,"Nurse care minutes per routine home care days (minutes)",14.3,,01/01/2021-12/31/2022
421501,"LOWER CAPE FEAR LIFECARE","350 HILTON RD SUITE 301",,"MYRTLE BEACH",SC,29572,Horry,"(843) 848-6480",4,H_012_08_PERCENTILE,"Nurse care minutes per routine home care days (minutes)",70,,01/01/2021-12/31/2022
