"Facility ID","Facility Name",Address,City/Town,State,"ZIP Code",County/Parish,"Telephone Number","Hospital Type","Hospital Ownership","Emergency Services","Meets criteria for promoting interoperability of EHRs","Meets criteria for birthing friendly designation","Hospital overall rating","Hospital overall rating footnote","MORT Group Measure Count","Count of Facility MORT Measures","Count of MORT Measures Better","Count of MORT Measures No Different","Count of MORT Measures Worse","MORT Group Footnote","Safety Group Measure Count","Count of Facility Safety Measures","Count of Safety Measures Better","Count of Safety Measures No Different","Count of Safety Measures Worse","Safety Group Footnote","READM Group Measure Count","Count of Facility READM Measures","Count of READM Measures Better","Count of READM Measures No Different","Count of READM Measures Worse","READM Group Footnote","Pt Exp Group Measure Count","Count of Facility Pt Exp Measures","Pt Exp Group Footnote","TE Group Measure Count","Count of Facility TE Measures","TE Group Footnote"
420072,"HAMPTON REGIONAL MEDICAL CENTER","595 WEST CAROLINA AVENUE",VARNVILLE,SC,29944,HAMPTON,"(803) 943-2771","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,,"Not Available",16,7,2,0,2,0,,8,2,0,2,0,,11,4,1,3,0,,8,"Not Available",5,12,7,
420073,"LEXINGTON MEDICAL CENTER","2720 SUNSET BLVD","WEST COLUMBIA",SC,29169,LEXINGTON,"(803) 791-2000","Acute Care Hospitals","Government - Hospital District or Authority",Yes,Y,Y,3,,7,7,0,6,1,,8,8,2,6,0,,11,11,2,6,3,,8,8,,12,11,
420078,"PRISMA HEALTH GREENVILLE MEMORIAL HOSPITAL","701 GROVE ROAD",GREENVILLE,SC,29605,GREENVILLE,"(864) 455-7000","Acute Care Hospitals","Voluntary non-profit - Private",No,Y,Y,3,,7,7,0,6,1,,8,7,3,3,1,,11,10,1,7,2,,8,8,,12,11,
420079,"TRIDENT MEDICAL CENTER","9330 MEDICAL PLAZA DR",CHARLESTON,SC,29406,CHARLESTON,"(843) 847-4100","Acute Care Hospitals",Proprietary,Yes,Y,Y,2,,7,7,0,7,0,,8,8,2,5,1,,11,11,0,8,3,,8,8,,12,11,
420080,"HILTON HEAD REGIONAL MEDICAL CENTER","25 HOSPITAL CENTER BLVD","HILTON HEAD ISLAND",SC,29925,BEAUFORT,"(843) 681-6122","Acute Care Hospitals","Voluntary non-profit - Other",Yes,Y,Y,2,,7,7,0,7,0,,8,6,0,5,1,,11,11,0,11,0,,8,8,,12,11,
420082,"AIKEN REGIONAL MEDICAL CENTER","302 UNIVERSITY PARKWAY",AIKEN,SC,29801,AIKEN,"(803) 641-5900","Acute Care Hospitals",Proprietary,Yes,Y,Y,2,,7,7,0,7,0,,8,8,0,8,0,,11,9,1,7,1,,8,8,,12,9,
420085,"GRAND STRAND REGIONAL MEDICAL CENTER","809 82ND PARKWAY","MYRTLE BEACH",SC,29572,HORRY,"(843) 692-1000","Acute Care Hospitals",Proprietary,Yes,Y,Y,4,,7,7,1,6,0,,8,7,1,5,1,,11,9,0,9,0,,8,8,,12,10,
420086,"PRISMA HEALTH BAPTIST","1330 TAYLOR AT MARION ST",COLUMBIA,SC,29220,RICHLAND,"(803) 296-5678","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,4,,7,5,0,5,0,,8,8,1,6,1,,11,7,1,5,1,,8,8,,12,9,
420087,"ROPER HOSPITAL","316 CALHOUN ST",CHARLESTON,SC,29401,CHARLESTON,"(843) 724-2800","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,,4,,7,7,0,7,0,,8,8,1,6,1,,11,11,2,7,2,,8,8,,12,9,
420089,"EAST COOPER MEDICAL CENTER","2000 HOSPITAL DR","MOUNT PLEASANT",SC,29464,CHARLESTON,"(843) 881-0100","Acute Care Hospitals",Proprietary,Yes,Y,Y,5,,7,4,0,4,0,,8,4,0,4,0,,11,7,2,5,0,,8,8,,12,8,
420091,"MUSC HEALTH FLORENCE MEDICAL CENTER","805 PAMPLICO HWY BOX 100550",FLORENCE,SC,29505,FLORENCE,"(843) 674-2500","Acute Care Hospitals","Government - State",Yes,Y,Y,3,,7,7,0,7,0,,8,7,1,6,0,,11,11,0,8,3,,8,8,,12,10,
420098,"TIDELANDS WACCAMAW COMMUNITY HOSPITAL","4070 HWY 17","MURRELLS INLET",SC,29576,HORRY,"(843) 652-1000","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,3,,7,5,0,5,0,,8,7,1,6,0,,11,10,0,10,0,,8,8,,12,12,
42009F,"NH Beaufort","1 Pinckney Blvd",Beaufort,SC,29902,BEAUFORT,"(843) 228-5600","Acute Care - Department of Defense","Department of Defense",No,,,"Not Available",22,"Not Available","Not Available","Not Available","Not Available","Not Available",22,"Not Available","Not Available","Not Available","Not Available","Not Available",22,"Not Available","Not Available","Not Available","Not Available","Not Available",22,"Not Available","Not Available",22,"Not Available","Not Available",22
420101,"COASTAL CAROLINA HOSPITAL","1000 MEDICAL CENTER DRIVE",HARDEEVILLE,SC,29927,JASPER,"(843) 784-8182","Acute Care Hospitals",Proprietary,Yes,Y,Y,3,,7,4,0,3,1,,8,2,0,2,0,,11,8,0,8,0,,8,8,,12,9,
420102,"PRISMA HEALTH  PATEWOOD HOSPITAL","175 PATEWOOD DRIVE",GREENVILLE,SC,29615,GREENVILLE,"(864) 797-1000","Acute Care Hospitals","Voluntary non-profit - Private",No,Y,Y,5,,7,"Not Available","Not Available","Not Available","Not Available",5,8,3,1,2,0,,11,4,0,4,0,,8,8,,12,6,
420103,"PELHAM MEDICAL CENTER","250 WESTMORELAND ROAD",GREER,SC,29651,GREENVILLE,"(864) 560-6554","Acute Care Hospitals","Government - Hospital District or Authority",Yes,Y,,5,,7,4,0,4,0,,8,4,0,4,0,,11,7,0,6,1,,8,8,,12,10,
420104,"MOUNT PLEASANT HOSPITAL","3510 HIGHWAY 17 NORTH SUITE 140","MOUNT PLEASANT",SC,29466,CHARLESTON,"(843) 724-2954","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,,5,,7,4,0,4,0,,8,4,0,4,0,,11,7,0,7,0,,8,8,,12,9,
420105,"MCLEOD LORIS  HOSPITAL","3655 MITCHELL STREET",LORIS,SC,29569,HORRY,"(843) 716-7000","Acute Care Hospitals","Voluntary non-profit - Private",No,Y,,3,,7,6,0,6,0,,8,7,0,6,1,,11,8,0,8,0,,8,8,,12,12,
420106,"PRISMA HEALTH BAPTIST PARKRIDGE","400 PALMETTO HEALTH PARKWAY",COLUMBIA,SC,29212,LEXINGTON,"(803) 907-7011","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,3,,7,3,0,3,0,,8,4,1,3,0,,11,6,0,6,0,,8,8,,12,11,
420107,"MCLEOD HEALTH CHERAW","711 CHESTERFIELD HIGHWAY",CHERAW,SC,29520,CHESTERFIELD,"(843) 537-7881","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,,5,,7,3,0,3,0,,8,3,0,3,0,,11,6,1,4,1,,8,8,,12,8,
420108,"UNION MEDICAL CENTER","322 WEST SOUTH STREET",UNION,SC,29379,UNION,"(864) 301-2000","Acute Care Hospitals","Voluntary non-profit - Other",Yes,Y,,"Not Available",16,7,1,0,1,0,,8,"Not Available","Not Available","Not Available","Not Available",5,11,2,0,2,0,,8,"Not Available",5,12,5,
420109,"MCLEOD HEALTH CLARENDON","10 EAST HOSPITAL STREET",MANNING,SC,29102,CLARENDON,"(803) 435-8463","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,3,,7,4,0,4,0,,8,3,0,3,0,,11,6,0,6,0,,8,8,,12,10,
420110,"ROPER ST FRANCIS HOSPITAL-BERKELEY INC","300  CALLEN BLVD",SUMMERVILLE,SC,29486,DORCHESTER,"(854) 529-3002","Acute Care Hospitals","Voluntary non-profit - Private",Yes,Y,Y,3,,7,2,0,2,0,,8,3,0,3,0,,11,4,0,4,0,,8,8,,12,11,
42011F,"COLUMBIA SC VA MEDICAL CENTER","6439 GARNERS FERRY ROAD",COLUMBIA,SC,29209,RICHLAND,"(803) 695-7980","Acute Care - Veterans Administration","Veterans Health Administration",Yes,,,5,,7,3,1,2,0,,8,4,0,4,0,,11,5,0,5,0,,8,8,,12,5,
42029F,"CHARLESTON VA MEDICAL CENTER","109 BEE STREET",CHARLESTON,SC,29401,CHARLESTON,"(843) 577-5011","Acute Care - Veterans Administration","Veterans Health Administration",Yes,,,5,,7,5,0,5,0,,8,4,1,2,1,,11,6,0,5,1,,8,8,,12,6,
421300,"ALLENDALE COUNTY HOSPITAL","1787 ALLENDALE FAIRFAX RD",FAIRFAX,SC,29827,ALLENDALE,"(803) 632-3311","Critical Access Hospitals","Government - Local",Yes,,,"Not Available",16,7,"Not Available","Not Available","Not Available","Not Available",5,8,"Not Available","Not Available","Not Available","Not Available",5,11,"Not Available","Not Available","Not Available","Not Available",5,8,"Not Available",5,12,"Not Available",5
421301,"ABBEVILLE AREA MEDICAL CENTER","420 THOMSON CIRCLE",ABBEVILLE,SC,29620,ABBEVILLE,"(864) 366-1649","Critical Access Hospitals","Voluntary non-profit - Other",Yes,Y,,"Not Available",16,7,1,0,1,0,,8,1,0,1,0,,11,4,0,4,0,,8,"Not Available",5,12,4,
421304,"EDGEFIELD COUNTY HEALTHCARE AN AFFILIATE OF SELF R","300 RIDGE MEDICAL PLAZA",EDGEFIELD,SC,29824,EDGEFIELD,"(803) 637-3174","Critical Access Hospitals","Government - Local",Yes,,,"Not Available",16,7,"Not Available","Not Available","Not Available","Not Available",5,8,"Not Available","Not Available","Not Available","Not Available",5,11,2,0,2,0,,8,"Not Available",5,12,3,
423300,"SHRINERS HOSPITALS FOR CHILDREN","950 WEST FARIS ROAD",GREENVILLE,SC,29605,GREENVILLE,"(864) 271-3444",Childrens,"Voluntary non-profit - Private",No,,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
424002,"LIGHTHOUSE BEHAVIORAL HEALTH HOSPITAL","152 WACCAMAW MEDICAL PARK DRIVE",CONWAY,SC,29526,HORRY,"(843) 347-8871",Psychiatric,Proprietary,Yes,,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
424005,"G WERBER BRYAN PSYCH HOSP","220 FAISON DR",COLUMBIA,SC,29203,RICHLAND,"(803) 935-7143",Psychiatric,"Government - State",No,,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
424006,"PALMETTO LOWCOUNTRY BEHAVIORAL HEALTH","2777 SPEISSEGGER DRIVE",CHARLESTON,SC,29405,CHARLESTON,"(843) 747-5830",Psychiatric,Proprietary,No,,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
424007,"SPRINGBROOK BEHAVIORAL HEALTH SYSTEM","ONE HAVENWOOD LANE  PO BOX 1005","TRAVELERS REST",SC,29690,GREENVILLE,"(864) 834-8013",Psychiatric,Proprietary,No,,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
424008,"THREE RIVERS BEHAVIORAL HEALTH","2900 SUNSET BOULEVARD","WEST COLUMBIA",SC,29169,LEXINGTON,"(803) 796-9911",Psychiatric,Proprietary,No,,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
424010,"CAROLINA CTR FOR BEHAVIORAL HEALTH,THE","2700 E PHILLIPS RD",GREER,SC,29650,GREENVILLE,"(864) 235-2335",Psychiatric,Proprietary,No,,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
424011,"PATRICK B HARRIS PSYCHIATRIC HOSPITAL","130 HIGHWAY 252",ANDERSON,SC,29622,ANDERSON,"(803) 231-2600",Psychiatric,"Government - State",No,,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
424014,"REBOUND BEHAVIORAL HEALTH","134 EAST REBOUND ROAD",LANCASTER,SC,29720,LANCASTER,"(803) 313-3700",Psychiatric,Proprietary,Yes,,,"Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available","Not Available","Not Available","Not Available",19,"Not Available","Not Available",19,"Not Available","Not Available",19
